state_fips,county_fips,fips5,state_abbreviation,name,poor_fair_health,poor_physical_days,poor_mental_days,life_exp,ratio_population_to_physicians,physicians_to_population,income_inequality
0,0,0,US,United States,0.171986764,3.752828263,3.970320984,79.08913021,1325.09053,0.000754665,4.920017801
1,0,1000,AL,Alabama,0.220287029,4.918051715,4.939752942,75.41619415,1542.641456,0.000648239,5.26113574
1,1,1001,AL,Autauga County,0.208829873,4.743888867,4.654031397,76.87947717,2220.16,0.000450418,5.234597269
1,3,1003,AL,Baldwin County,0.175091344,4.224519202,4.304056469,78.45025837,1371.793548,0.000728973,4.417766679
1,5,1005,AL,Barbour County,0.295918017,5.430278859,5.185594413,75.34193493,3158.75,0.000316581,5.681410019
1,7,1007,AL,Bibb County,0.194397242,4.591482438,4.551698849,73.57182028,2060.727273,0.000485266,4.368580511
1,9,1009,AL,Blount County,0.217452928,4.86080763,4.891454668,74.1458259,4462.538462,0.000224088,4.430262332
1,11,1011,AL,Bullock County,0.309991019,5.359159343,4.891351043,73.53089479,3436.333333,0.000291008,7.410195994
1,13,1013,AL,Butler County,0.279106732,5.400806197,5.340750195,72.9183092,3965,0.000252207,5.423595582
1,15,1015,AL,Calhoun County,0.231077332,4.88037674,4.816072288,73.03910859,1571.616438,0.000636288,5.023896449
1,17,1017,AL,Chambers County,0.239954736,4.941178357,4.873580766,74.29107603,2408.071429,0.00041527,4.744932135
1,19,1019,AL,Cherokee County,0.206984706,4.775614101,4.711270423,73.99883376,2585.7,0.000386743,4.708465031
1,21,1021,AL,Chilton County,0.211854629,4.773382296,4.853244137,74.92675055,4896.333333,0.000204235,5.107667948
1,23,1023,AL,Choctaw County,0.248635313,4.93320463,4.987882477,74.05390155,2589,0.00038625,5.86009572
1,25,1025,AL,Clarke County,0.252350848,5.127337236,5.083736729,74.78745981,1852.538462,0.0005398,8.46898263
1,27,1027,AL,Clay County,0.237959174,4.958969531,4.982927683,75.23715615,2673.4,0.000374056,5.079258606
1,29,1029,AL,Cleburne County,0.192844078,4.546700394,4.867215456,74.76602886,3725,0.000268456,4.775680077
1,31,1031,AL,Coffee County,0.194258268,4.420119787,4.5674365,76.71034856,1852.642857,0.000539769,4.658772634
1,33,1033,AL,Colbert County,0.209144544,4.608637627,4.582405897,74.6659504,1557.142857,0.000642202,4.758200916
1,35,1035,AL,Conecuh County,0.286087478,5.433752811,5.391487964,75.25023311,2493.8,0.000400995,4.452203579
1,37,1037,AL,Coosa County,0.249191033,5.089016322,5.102119123,73.81951325,,,4.434364223
1,39,1039,AL,Covington County,0.226688063,4.681940452,4.906550913,73.99450382,1952.210526,0.00051224,4.916330704
1,41,1041,AL,Crenshaw County,0.221469362,4.741456038,4.895213716,74.65904212,6935.5,0.000144186,5.490261031
1,43,1043,AL,Cullman County,0.217864937,4.681421374,4.887602336,74.53974581,1799.021739,0.000555858,4.435584708
1,45,1045,AL,Dale County,0.23433107,5.02126402,4.796090897,75.05295351,5469.555556,0.00018283,5.063099359
1,47,1047,AL,Dallas County,0.298268978,5.626877975,5.591112894,71.18507134,1352.241379,0.000739513,6.058905571
1,49,1049,AL,DeKalb County,0.259589815,5.267708142,5.004405583,74.45845024,2387.233333,0.000418895,4.793618961
1,51,1051,AL,Elmore County,0.186338628,4.296209677,4.66360684,75.91196924,3889.380952,0.00025711,4.382968429
1,53,1053,AL,Escambia County,0.260548919,5.219402937,5.185497665,72.90735933,2880.538462,0.000347157,5.518155793
1,55,1055,AL,Etowah County,0.214838641,4.919021694,4.836313898,73.03473169,1238.012048,0.000807747,4.711496399
1,57,1057,AL,Fayette County,0.221993439,4.92753119,4.976140281,74.58653626,1029.25,0.000971581,4.930437601
1,59,1059,AL,Franklin County,0.253680215,5.216587949,5.182013546,74.64628269,2249.642857,0.000444515,4.401448328
1,61,1061,AL,Geneva County,0.230846693,5.020503153,5.013906251,73.79484144,3302.625,0.000302789,4.981861999
1,63,1063,AL,Greene County,0.339851556,5.934787652,5.463501498,74.79660472,2082.5,0.000480192,5.877814891
1,65,1065,AL,Hale County,0.279025703,5.4154381,5.255129552,74.11701861,4937.333333,0.000202539,6.362011272
1,67,1067,AL,Henry County,0.214192621,4.696673741,4.758572229,76.23234938,3429.4,0.000291596,4.898382392
1,69,1069,AL,Houston County,0.202697971,4.66568897,4.766954564,75.86663695,1185.75,0.000843348,5.141591486
1,71,1071,AL,Jackson County,0.232447618,5.032927396,5.065956082,73.80725219,1853.892857,0.000539406,5.040583263
1,73,1073,AL,Jefferson County,0.196963021,4.410889766,4.736544474,74.67116264,929.7559944,0.001075551,5.340298508
1,75,1075,AL,Lamar County,0.24255311,5.210485954,5.147942525,74.3449866,,,5.049253831
1,77,1077,AL,Lauderdale County,0.201258334,4.668641982,4.758548473,76.16952605,1968.893617,0.0005079,4.523242916
1,79,1079,AL,Lawrence County,0.218338031,4.88277199,5.04845692,73.81540359,6609.8,0.000151291,4.901549018
