state_fips,county_fips,fips5,state_abbreviation,name,adult_smoking_value,flu_vaccinations_value,child_mortality_value,life_exp
0,0,0,US,United States,0.170800174,0.46,49.93848723,79.08913021
1,0,1000,AL,Alabama,0.209273531,0.41,69.4996753,75.41619415
1,1,1001,AL,Autauga County,0.180815572,0.41,55.92215636,76.87947717
1,3,1003,AL,Baldwin County,0.174890326,0.44,47.38174986,78.45025837
1,5,1005,AL,Barbour County,0.219999845,0.37,74.22527371,75.34193493
1,7,1007,AL,Bibb County,0.191141999,0.38,85.8000858,73.57182028
1,9,1009,AL,Blount County,0.19208672,0.39,83.79888268,74.1458259
1,11,1011,AL,Bullock County,0.22894664,0.28,149.6144551,73.53089479
1,13,1013,AL,Butler County,0.21765335,0.35,98.19431564,72.9183092
1,15,1015,AL,Calhoun County,0.206125604,0.38,65.81309082,73.03910859
1,17,1017,AL,Chambers County,0.193929271,0.42,87.56874146,74.29107603
1,19,1019,AL,Cherokee County,0.174986738,0.41,63.72236655,73.99883376
1,21,1021,AL,Chilton County,0.201889791,0.42,59.18000189,74.92675055
1,23,1023,AL,Choctaw County,0.187932483,0.34,,74.05390155
1,25,1025,AL,Clarke County,0.205796553,0.28,94.06452827,74.78745981
1,27,1027,AL,Clay County,0.196203542,0.43,,75.23715615
1,29,1029,AL,Cleburne County,0.183744658,0.34,72.78550113,74.76602886
1,31,1031,AL,Coffee County,0.174447576,0.37,36.80680517,76.71034856
1,33,1033,AL,Colbert County,0.186588211,0.45,67.37519289,74.6659504
1,35,1035,AL,Conecuh County,0.21107513,0.44,,75.25023311
1,37,1037,AL,Coosa County,0.203999656,0.39,136.6306873,73.81951325
1,39,1039,AL,Covington County,0.192494515,0.39,79.37719432,73.99450382
1,41,1041,AL,Crenshaw County,0.186469296,0.36,,74.65904212
1,43,1043,AL,Cullman County,0.179010712,0.41,43.07269864,74.53974581
1,45,1045,AL,Dale County,0.200573949,0.41,74.5843022,75.05295351
1,47,1047,AL,Dallas County,0.24088991,0.34,48.93754025,71.18507134
1,49,1049,AL,DeKalb County,0.210282708,0.4,61.7718464,74.45845024
1,51,1051,AL,Elmore County,0.174525019,0.39,58.49942181,75.91196924
1,53,1053,AL,Escambia County,0.224125846,0.35,78.11326423,72.90735933
1,55,1055,AL,Etowah County,0.201473986,0.36,72.92882147,73.03473169
1,57,1057,AL,Fayette County,0.180015933,0.45,,74.58653626
1,59,1059,AL,Franklin County,0.19250583,0.38,64.69979296,74.64628269
1,61,1061,AL,Geneva County,0.200036033,0.46,72.56584283,73.79484144
1,63,1063,AL,Greene County,0.246328187,0.3,,74.79660472
1,65,1065,AL,Hale County,0.220772913,0.33,93.29697144,74.11701861
1,67,1067,AL,Henry County,0.184298454,0.42,,76.23234938
1,69,1069,AL,Houston County,0.192497828,0.45,89.48315762,75.86663695
1,71,1071,AL,Jackson County,0.199589209,0.42,59.01177966,73.80725219
1,73,1073,AL,Jefferson County,0.176220453,0.44,84.25407063,74.67116264
1,75,1075,AL,Lamar County,0.20430552,0.4,,74.3449866
