State FIPS Code,County FIPS Code,5-digit FIPS Code,State,County Name,% Severe Housing Problems,% Uninsured,High school graduation rate,% Unemployed,Income Inequality,Median household income,% Rural,Residential Segregation,Median household income (White),Median household income (Black),Population
0,0,0,US,United States,0.179136089,0.10223446,0.846,0.03895339,4.920017801,61937.0,0.192690289,46.77346382,,,327167434.0
1,0,1000,AL,Alabama,0.143407021,0.110447826,0.893,0.039335669,5.26113574,49881.0,0.409631829,50.77777591,,,4887871.0
1,1,1001,AL,Autauga County,0.146634615,0.08721686,0.9,0.036290789,5.234597269,59338.0,0.420021623,23.6283952,65047.0,27643.0,55601.0
1,3,1003,AL,Baldwin County,0.135662009,0.113334045,0.863615768,0.036153822,4.417766679,57588.0,0.422790991,31.82534323,59418.0,31112.0,218022.0
1,5,1005,AL,Barbour County,0.145833333,0.122427925,0.814102564,0.051713842,5.681410019,34382.0,0.677896347,23.44971251,47031.0,23013.0,24881.0
1,7,1007,AL,Bibb County,0.104964539,0.102062526,0.837638376,0.039718277,4.368580511,46064.0,0.683526075,52.6002055,50769.0,34000.0,22400.0
1,9,1009,AL,Blount County,0.105480116,0.133607595,0.934687954,0.035111573,4.430262332,50412.0,0.89951502,17.69449474,49872.0,,57840.0
1,11,1011,AL,Bullock County,0.181434599,0.114403761,0.702479339,0.046901173,7.410195994,29267.0,0.513743815,30.61876043,63636.0,21875.0,10138.0
1,13,1013,AL,Butler County,0.131596091,0.111860095,0.815899582,0.047902176,5.423595582,37365.0,0.712321574,37.51184805,49094.0,26260.0,19680.0
1,15,1015,AL,Calhoun County,0.137341913,0.119291675,0.923680457,0.046528322,5.023896449,45400.0,0.336968256,40.68118287,51481.0,28478.0,114277.0
1,17,1017,AL,Chambers County,0.159566787,0.119380768,0.862385321,0.039080911,4.744932135,39917.0,0.491480345,25.67284445,48000.0,31185.0,33615.0
1,19,1019,AL,Cherokee County,0.13,0.111726499,0.949044586,0.03570814,4.708465031,42132.0,0.85736273,29.49378943,41483.0,35096.0,26032.0
1,21,1021,AL,Chilton County,0.132972323,0.137597059,0.882059801,0.036095708,5.107667948,47547.0,0.867447242,33.22441623,47778.0,30828.0,44153.0
1,23,1023,AL,Choctaw County,0.110611511,0.113420787,0.786324786,0.055389859,5.86009572,39907.0,1.0,44.70127425,50106.0,26250.0,12841.0
1,25,1025,AL,Clarke County,0.120355835,0.119263663,0.909090909,0.074734496,8.46898263,40741.0,0.759803352,19.66355998,48177.0,22948.0,23920.0
